IdEmpresa,Año,IdMes,Energía Facturada (MWh),temperatura,precipitacion,PIB_mensual_interpolado,COSTO_CANASTA,INGRESO_FAMILIAR_MENSUAL
17,2015,4,7383.87997,16.21,104.67,24904872.93,660.85,660.8
17,2015,4,7383.87997,16.21,146.3,24904872.93,660.85,660.8
17,2015,5,8969.30087,16.54,82.2,24967235.01,665.09,660.8
17,2015,5,8969.30087,16.54,102.49,24967235.01,665.09,660.8
17,2015,6,9314.18703,15.51,134.9,25183993.99,666.92,660.8
17,2015,6,9314.18703,15.51,144.14,25183993.99,666.92,660.8
17,2015,7,9479.33289,15.92,117.67,25369058.98,668.57,660.8
17,2015,7,9479.33289,15.92,127.36,25369058.98,668.57,660.8
17,2015,8,9198.02932,15.82,55.13,25397950.6,668.95,660.8
17,2015,8,9198.02932,15.82,64.94,25397950.6,668.95,660.8
17,2015,9,8859.83706,16.21,39.0,25293291.89,670.53,660.8
17,2015,9,8859.83706,16.21,39.64,25293291.89,670.53,660.8
17,2015,10,9274.1606,15.94,93.87,25133753.15,669.88,660.8
17,2015,10,9274.1606,15.94,98.81,25133753.15,669.88,660.8
17,2015,11,8195.30631,15.98,78.1,24971851.19,669.96,660.8
17,2015,11,8195.30631,15.98,69.0,24971851.19,669.96,660.8
17,2015,12,6628.96788,15.95,49.4,24848501.57,673.21,660.8
17,2015,12,6628.96788,15.95,44.23,24848501.57,673.21,660.8
17,2016,1,8917.842069999999,17.61,26.17,24779695.26,675.93,683.2
17,2016,1,8917.842069999999,17.61,79.07,24779695.26,675.93,683.2
17,2016,2,8314.62125,17.05,55.4,24783334.57,678.61,683.2
17,2016,2,8314.62125,17.05,119.18,24783334.57,678.61,683.2
17,2016,3,8891.22972,17.12,111.63,24822407.15,680.7,683.2
17,2016,3,8891.22972,17.12,171.83,24822407.15,680.7,683.2
17,2016,4,8736.26664,17.12,173.43,24858919.55,683.16,683.2
17,2016,4,8736.26664,17.12,162.1,24858919.55,683.16,683.2
17,2016,5,8794.9695,16.83,102.2,24863203.11,686.74,683.2
17,2016,5,8794.9695,16.83,77.34,24863203.11,686.74,683.2
17,2016,6,8748.20994,15.84,171.17,24878172.36,688.53,683.2
17,2016,6,8748.20994,15.84,126.48,24878172.36,688.53,683.2
17,2016,7,9016.87218,15.64,83.7,24960917.54,688.21,683.2
17,2016,7,9016.87218,15.64,45.84,24960917.54,688.21,683.2
17,2016,8,8982.56422,15.47,58.83,25160152.91,689.1,683.2
17,2016,8,8982.56422,15.47,36.67,25160152.91,689.1,683.2
17,2016,9,8717.70821,13.97,70.83,25449652.98,691.38,683.2
17,2016,9,8717.70821,13.97,50.72,25449652.98,691.38,683.2
17,2016,10,8815.65265,10.95,55.2,25775821.66,691.88,683.2
17,2016,10,8815.65265,10.95,75.71,25775821.66,691.88,683.2
17,2016,11,8209.025819999999,10.67,57.45,26120322.63,692.56,683.2
17,2016,11,8209.025819999999,10.67,78.82,26120322.63,692.56,683.2
17,2016,12,9364.043399,10.07,97.7,26426986.93,700.96,683.2
17,2016,12,9364.043399,10.07,80.9,26426986.93,700.96,683.2
17,2017,1,8816.767810000001,15.36,103.87,26681922.74,701.93,700.0
